City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Saint-Philippe,RE,-21.3585,55.7679,71.11,82,57,14.85,light rain
79,Bluff,NZ,-46.6,168.3333,46.76,79,99,15.86,overcast clouds
80,Lompoc,US,34.6391,-120.4579,77.0,62,0,13.8,clear sky
81,Clyde River,CA,70.4692,-68.5914,39.43,100,100,12.66,light rain
82,Hilo,US,19.7297,-155.09,90.28,76,100,11.5,overcast clouds
83,Cherskiy,RU,68.75,161.3,60.08,47,100,19.93,overcast clouds
84,Jamestown,US,42.097,-79.2353,77.02,49,75,10.36,broken clouds
85,Maceio,BR,-9.6658,-35.7353,76.44,94,75,4.61,broken clouds
86,Port Alfred,ZA,-33.5906,26.891,56.71,66,87,15.68,overcast clouds
87,Haldensleben,DE,52.2891,11.4098,64.81,73,67,3.04,broken clouds
88,Omsukchan,RU,62.5333,155.8,52.63,67,84,8.7,broken clouds
89,Leh,IN,34.1667,77.5833,62.71,56,42,6.6,scattered clouds
90,Katsuura,JP,35.1333,140.3,81.9,83,87,13.51,overcast clouds
91,Bhadrachalam,IN,17.6667,80.8833,78.28,91,93,3.4,overcast clouds
92,Belaya Gora,RU,68.5333,146.4167,61.7,68,0,3.33,clear sky
93,Mataura,NZ,-46.1927,168.8643,39.78,94,99,6.51,overcast clouds
94,Bay Roberts,CA,47.5999,-53.2648,69.06,93,100,8.99,overcast clouds
95,Centralia,US,46.7162,-122.9543,98.85,38,0,4.61,clear sky
96,Manuk Mangkaw,PH,4.8,119.85,83.19,74,100,8.68,overcast clouds
97,Monrovia,LR,6.3005,-10.7969,76.03,72,49,7.74,scattered clouds
98,Robertsport,LR,6.7533,-11.3686,77.32,70,40,9.33,scattered clouds
99,Faanui,PF,-16.4833,-151.75,79.09,69,1,23.47,clear sky
100,La Libertad,EC,-2.2333,-80.9,73.06,83,100,10.36,overcast clouds
101,Hermanus,ZA,-34.4187,19.2345,46.8,71,81,6.24,light rain
102,Yar-Sale,RU,66.8333,70.8333,46.58,70,4,11.25,clear sky
103,Yamethin,MM,20.4333,96.15,77.79,83,100,7.18,overcast clouds
104,Bethel,US,41.3712,-73.414,85.87,47,3,3.0,clear sky
105,Port Blair,IN,11.6667,92.75,81.46,83,100,8.99,overcast clouds
106,Kokstad,ZA,-30.5472,29.4241,49.23,91,98,1.99,light rain
107,Flinders,AU,-34.5833,150.8552,53.38,70,87,6.85,overcast clouds
108,Kavieng,PG,-2.5744,150.7967,83.08,72,93,14.45,overcast clouds
109,Caceres,ES,39.522,-6.3748,85.51,23,32,3.91,scattered clouds
110,Vostok,RU,46.4856,135.8833,67.98,97,100,2.55,overcast clouds
111,Loubomo,CG,-4.1997,12.6739,66.96,88,7,8.41,clear sky
112,Mar Del Plata,AR,-38.0023,-57.5575,53.1,90,0,5.99,clear sky
113,Stornoway,GB,58.2093,-6.3865,52.93,84,75,2.3,broken clouds
114,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,94,75,11.5,broken clouds
115,Yellowknife,CA,62.456,-114.3525,59.52,82,100,4.61,light intensity shower rain
116,Najran,SA,17.4924,44.1277,86.65,33,99,1.5,light rain
117,The Valley,AI,18.217,-63.0578,84.81,83,50,16.78,scattered clouds
118,Whitley Bay,GB,55.0397,-1.4471,64.99,87,20,9.22,few clouds
119,Biak,ID,-0.9131,122.8766,74.28,90,92,5.06,overcast clouds
120,Ovalle,CL,-30.5983,-71.2003,59.0,72,59,5.19,broken clouds
121,Kolokani,ML,13.5728,-8.0339,75.52,83,88,6.87,overcast clouds
122,Klyuchi,RU,52.2667,79.1667,64.56,86,100,6.46,overcast clouds
123,Saldanha,ZA,-33.0117,17.9442,44.65,80,15,9.37,few clouds
124,Skhisma,GR,35.2667,25.7167,82.83,58,0,10.0,clear sky
125,Tete,MZ,-16.1564,33.5867,66.92,49,13,1.48,few clouds
126,Itupiranga,BR,-5.1347,-49.3267,82.38,57,82,2.17,broken clouds
127,Takab,IR,36.4009,47.1133,72.0,36,39,5.1,scattered clouds
128,Alice Springs,AU,-23.7,133.8833,44.15,49,100,4.61,overcast clouds
129,Lasa,IT,46.6166,10.7002,63.48,84,27,6.33,scattered clouds
130,Villarrica,PY,-25.75,-56.4333,57.94,58,9,4.18,clear sky
131,Sioux Lookout,CA,50.1001,-91.917,84.38,29,12,11.16,few clouds
132,Nuuk,GL,64.1835,-51.7216,47.88,81,40,17.0,scattered clouds
133,Flin Flon,CA,54.7682,-101.865,66.04,63,100,4.61,overcast clouds
134,Whitehorse,CA,60.7161,-135.0538,72.1,45,75,6.91,broken clouds
135,Provideniya,RU,64.3833,-173.3,53.35,65,98,3.36,overcast clouds
136,Rio Grande,BR,-32.035,-52.0986,55.51,72,0,5.23,clear sky
137,Adrar,MR,20.5022,-10.0711,93.33,32,44,9.84,scattered clouds
138,Plettenberg Bay,ZA,-34.0527,23.3716,51.69,82,30,11.34,light rain
139,Vila Do Maio,CV,15.1333,-23.2167,78.51,78,98,10.38,overcast clouds
140,Chara,RU,56.9064,118.2631,64.89,71,100,2.64,overcast clouds
141,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,70,75,8.05,broken clouds
142,Abu Kamal,SY,34.4506,40.9171,92.57,13,3,1.74,clear sky
143,San Lazaro,BZ,18.0387,-88.6622,83.12,76,90,7.83,overcast clouds
144,Ivanteyevka,RU,55.9711,37.9208,63.34,65,66,2.59,broken clouds
145,Grindavik,IS,63.8424,-22.4338,51.75,76,75,13.8,broken clouds
146,Souillac,MU,-20.5167,57.5167,70.18,68,40,18.41,scattered clouds
147,Nador,MA,35.174,-2.9287,80.85,89,0,5.75,clear sky
148,Cayenne,GF,4.9333,-52.3333,82.09,1,45,2.3,scattered clouds
149,Penzance,GB,50.1186,-5.5371,63.28,94,96,16.53,overcast clouds
150,Sisimiut,GL,66.9395,-53.6735,48.11,79,100,5.99,overcast clouds
151,Airai,TL,-8.9266,125.4092,58.1,94,67,3.98,broken clouds
